Insee - Statistiques locales; ; ; 
Référentiel géographique : France par intercommunalité; ; ; 
Code;Libellé;Population municipale (historique depuis 1876) 2021;Densité de population (historique depuis 1876) 2021
200000172;Communauté de communes Faucigny-Glières;27764;184.3
200000438;Communauté de communes du Pays de Pontchâteau Saint-Gildas-des-Bois;36232;110.9
200000545;Communauté de communes des Portes de Romilly-sur-Seine;18866;180
200000628;Communauté de communes Rhône Lez Provence;24003;159.9
200000800;Communauté de communes Cœur de Sologne;10310;30.4
200000925;Communauté de communes de la Plaine Dijonnaise;22093;108.1
200000933;Communauté de communes Sauldre et Sologne;14421;14.9
200004802;Communauté de communes du Pays de Fayence;29060;72.3
200005932;Communauté de communes des Portes de Sologne;15544;37.5
200005957;Communauté de communes de la Région de Rambervillers;12878;39.2
200006682;Communauté d'agglomération Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;50456;90.3
200006716;Communauté de communes du Nogentais;16511;56
200006930;Communauté de communes du Haut Allier;5173;18.3
200006971;Communauté de communes du Perche;17975;55
200007052;Communauté de communes de la Marche Berrichonne;5532;19.5
200007177;Communauté de communes Pays de Nérondes;4711;18.8
200010650;Communauté d'agglomération du Grand Dole;54718;128.9
200010700;Communauté d'agglomération Caux Seine Agglo;78036;135.9
200011773;Communauté d'agglomération Annemasse-Les Voirons-Agglomération;93417;1194.9
200011781;Communauté de communes Portes du Berry entre Loire et Val d'Aubois;9466;33.1
200013050;Communauté de communes Sauer-Pechelbronn;17355;87.7
200015162;Communauté de communes de l'Oriente;6073;13
200016905;Communauté de communes du Pays de Lamastre;6683;30.2
200017341;Communauté de communes Lodévois et Larzac;14783;26.8
200017846;Communauté d'agglomération Étampois Sud Essonne;55662;115.4
200018083;Communauté de communes de Desvres-Samer;23221;94.7
200018166;Communauté de communes Le Grésivaudan;102588;151.6
200018406;Communauté de communes du Romorantinais et du Monestois;33662;69.5
200018521;Communauté de communes du Val de Bouzanne;5973;21.5
200018653;Communauté d'agglomération Cap Excellence;97513;750.6
200022986;Communauté de communes du Grand Pic Saint-Loup;50876;88.4
200023075;Communauté de communes du Pays de Maîche;18546;48.7
200023125;Communauté de communes Les Portes Briardes entre Villes et Forêts;45945;681.2
200023240;Communauté de communes Pays de Nemours;29718;132.2
200023299;Communauté de communes Cœur de Tarentaise;9085;32.8
200023307;Communauté d'agglomération du Grand Villeneuvois;47507;133.9
200023372;Communauté de communes de la Vallée de Chamonix-Mont-Blanc;13486;62
200023414;Métropole Rouen Normandie;497225;749
200023620;Communauté de communes de la Gascogne Toulousaine;16788;77.9
200023737;Communauté d'agglomération du Grand Cahors;42202;71.1
200023778;Communauté d'agglomération du Pays de Saint-Gilles-Croix-de-Vie;52407;179.3
200023794;Communauté de communes de Blaye;20303;118.5
200023919;Communauté de communes Gâtinais Val de Loing;18422;54.5
200026573;Communauté de communes Haut-Jura Saint-Claude;19626;53.6
200027027;Communauté de communes Arc Sud Bretagne;28730;81.4
200027076;Communauté de communes Arnon Boischaut Cher;7934;20.9
200027100;Communauté de communes Méditerranée Porte des Maures;46303;108.2
200027183;Communauté urbaine Perpignan Méditerranée Métropole;272976;442.7
200027217;Communauté de communes Sarlat-Périgord Noir;16155;70.8
200027308;Communauté de communes d'Auberive Vingeanne et Montsaugeonnais;8125;10.7
200027548;Communauté de communes des Savanes;29390;2.5
200029734;Communauté de communes des 4B Sud Charente;19890;31.6
200029999;Communauté de communes Rives de l'Ain - Pays du Cerdon;14705;86.3
200030195;Métropole Nice Côte d'Azur;560351;378.7
200030385;Communauté d'agglomération de Blois "Agglopolys";106200;134.1
200030435;Communauté de communes d'Aire-sur-l'Adour;12880;42.8
200030526;Communauté de communes du Ried de Marckolsheim;20597;111.6
200030633;Communauté d'agglomération du Caudrésis et du Catésis;63602;170.7
200030658;Communauté de communes du Trièves;10261;16.2
200030674;Communauté d'agglomération Val de Garonne Agglomération;60269;90.1
200032514;Communauté de communes Berry-Loire-Vauvise;5423;19.6
200033025;Communauté d'agglomération de Bar-le-Duc - Sud Meuse;33812;84.5
200033090;Communauté de communes Plaines et Monts de France;25565;176.7
200033116;Communauté de communes Cluses-Arve et Montagnes;46778;229.6
200033173;Communauté de communes de la Haute Vallée de Chevreuse;25029;298.9
200033181;Communauté d'agglomération Chartres Métropole;136831;159.4
200033298;Communauté de communes des Coëvrons;26926;34.3
200033579;Communauté urbaine d'Arras;109776;358.8
200033827;Communauté de communes de Fium'Orbu Castellu;13227;20.8
200033868;Communauté de communes des Ballons des Hautes-Vosges;14694;75.6
200034023;Communauté de communes Tarn-Agout;29678;114.3
200034031;Communauté de communes des Monts d'Alban et du Villefranchois;6378;18.7
200034049;Communauté de communes Centre Tarn;11224;33.6
200034056;Communauté de communes du Lautrécois et du Pays d'Agout;14294;36.1
200034064;Communauté de communes du Cordais et du Causse (4 C);5290;17.9
200034098;Communauté de communes des Montagnes du Giffre;12121;34.5
200034130;Communauté de communes Gally Mauldre;22336;235.5
200034197;Communauté de communes de Montaigne Montravel et Gurson;11904;45.6
200034205;Communauté de communes de la Costa Verde;10831;58.5
200034270;Communauté de communes du Pays de Barr;24006;126.7
200034379;Communauté de communes Pays d'Uzès;30799;61.3
200034411;Communauté de communes du Piémont Cévenol;22301;49.4
200034601;Communauté de communes Causses Aigoual Cévennes;5337;11.2
200034635;Communauté de communes du Kochersberg;26648;199
200034692;Communauté d'agglomération du Gard Rhodanien;75467;119.3
200034700;Communauté d'agglomération Durance-Lubéron-Verdon Agglomération;63462;75.7
200034718;Communauté de communes de Vitry, Champagne et Der;23585;45.8
200034726;Communauté de communes Bastides de Lomagne;11298;26.6
200034825;Communauté d'agglomération du Grand Guéret;28494;59.3
200034833;Communauté de communes des Bastides Dordogne-Périgord;18600;27.9
200034874;Communauté de communes Côtes de Meuse Woëvre;5987;14.2
200034882;Communauté de communes Pays du Mont-Blanc;45310;120.6
200034957;Communauté de communes du Frontonnais;28233;175.5
200035087;Communauté d'agglomération Terre de Provence;60434;227.3
200035103;Communauté de communes de la Vallée de la Haute Sarthe;7481;26.8
200035111;Communauté de communes des Sources de l'Orne;11928;32.7
200035129;Communauté de communes de Cèze Cévennes;19197;60.2
200035137;Communauté de communes Marche Occitane - Val d'Anglin;6534;12.9
200035202;Communauté de communes Charlieu-Belmont;23459;83.8
200035319;Communauté d'agglomération Estérel Côte d'Azur Agglomération;118468;341.3
200035327;Communauté de communes Cazals-Salviac;5384;21.6
200035442;Communauté de communes du Sud-Artois;27059;63.5
200035533;Communauté de communes du Grand Saint-Émilionnais;14173;60.2
200035541;Communauté de communes des Landes d'Armagnac;10768;10.1
200035632;Communauté de communes Armagnac Adour;6621;22.3
200035707;Communauté de communes Piège Lauragais Malepère;16185;34.2
200035715;Communauté d'agglomération Carcassonne Agglo;113827;107.2
200035723;Communauté de communes Ventoux Sud;9556;23.8
200035731;Communauté d'agglomération Roannais Agglomération;101302;147
200035756;Communauté de communes Astarac Arros en Gascogne;7173;18.9
200035764;Communauté de communes de la Beauce Loirétaine;16941;42.5
200035772;Communauté de communes du Pays du Saintois;14274;41
200035814;Communauté d'agglomération Flers Agglo;52946;93.3
200035848;Communauté de communes du Châtillonnais en Berry;5628;20.4
200035855;Communauté de communes Castelnaudary Lauragais Audois;27823;57.5
200035863;Communauté de communes Région Lézignanaise, Corbières et Minervois;33191;41
200035970;Communauté de communes Vexin Centre;24906;102.8
200036069;Communauté de communes du Pays de Mortagne au Perche;13515;33.6
200036077;Communauté de communes du Golfe de Saint-Tropez;57409;133.5
200036135;Communauté de communes Cœur de France;18103;47.8
200036150;Communauté de communes des Hauts du Val de Saône;8359;17.1
200036465;Communauté de communes de Thann-Cernay;37610;238.3
200036473;Communauté d'agglomération de Saintes - Grandes Rives - L'Agglo;60641;127.8
200036499;Communauté de communes de Marana-Golo;24812;148.6
200036523;Communauté de communes des Bastides en Haut Agenais Périgord;16993;25.2
200036549;Communauté de communes Val de Gray;20269;40.7
200037059;Communauté de communes de la Haute Somme (Combles - Péronne - Roisel);26606;57.5
200037133;Communauté de communes du Provinois;34480;54.9
200038958;Communauté de communes de la Pieve de l'Ornano et du Taravo;13150;20
200038990;Communauté de communes de Saint-Méen Montauban;27084;76.9
200039022;Communauté d'agglomération Vitré Communauté;82753;95.4
200039055;Communauté de communes Ouche et Montagne;11119;34.8
200039063;Communauté de communes Forêts, Seine et Suzon;7050;16.7
200039204;Communauté de communes de Lacq-Orthez;52909;72.5
200039519;Communauté de communes du Quercy Blanc;7724;18.6
200039642;Communauté de communes Le Tonnerrois en Bourgogne;15200;19.3
200039709;Communauté de communes du Serein;7058;12.4
200039758;Communauté de communes Avallon, Vézelay, Morvan;18474;25.6
200039808;Communauté de communes des Gorges de l'Ardèche;15556;37.7
200039824;Communauté de communes Ardèche des Sources et Volcans;9716;36.2
200039832;Communauté de communes Pays des Vans en Cévennes;9437;28.7
200039857;Communauté d'agglomération du Pays de Grasse;100534;205.2
200039865;Metz Métropole;228999;706.5
200039907;Communauté de communes du Sud Messin;16826;67.3
200039915;Communauté d'agglomération Cannes Pays de Lérins;157452;1660.4
200039931;Communauté de communes Alpes d'Azur;9885;11.1
200039949;Communauté de communes Rives de Moselle;53004;420.4
200040038;Communauté de communes Saône Doubs Bresse;12081;38.2
200040095;Communauté de communes Isle Vern Salembre en Périgord;18851;66.2
200040111;Communauté de communes Cœur de Chartreuse;17129;48
200040137;Communauté de communes des Lacs de Champagne;9093;20.6
200040178;Communauté de communes de l'Outre-Forêt;16177;135
200040202;Communauté de communes Provence Verdon;22672;35.1
200040210;Communauté de communes Lacs et Gorges du Verdon;9099;16.8
200040244;Communauté d'agglomération du Bocage Bressuirais;74122;56.2
200040251;Communauté de communes Bassée-Montois;23105;54.8
200040277;Communauté d'agglomération Agglo du Pays de Dreux;115490;109.4
200040293;Communauté de communes du Clunisois;13987;31.2
200040350;Communauté de communes Bugey Sud;34115;54.7
200040384;Communauté de communes Isle Double Landais;12450;52.8
200040392;Communauté d'agglomération Le Grand Périgueux;104024;104.7
200040400;Communauté de communes du Périgord Ribéracois;19433;28.4
200040418;Communauté de communes du Pays de Serres en Quercy;8378;18.6
200040426;Communauté de communes du Val de l'Oise;15847;48.4
200040442;Communauté d'agglomération Luberon Monts de Vaucluse;55007;154.4
200040459;Communauté d'agglomération Montélimar Agglomération;68546;179.8
200040475;LBN Communauté;17921;38.6
200040491;Communauté de communes Porte de DrômArdèche;47811;113.6
200040509;Communauté de communes du Crestois et de Pays de Saillans Cœur de Drôme;16102;68.8
200040558;Communauté de communes Écueillé-Valençay;10924;20.2
200040566;Communauté d'agglomération de l'Ouest Rhodanien;50464;87.2
200040574;Communauté de communes Beaujolais Pierres Dorées;55120;221
200040590;Communauté d'agglomération Villefranche Beaujolais Saône;72925;435
200040624;Communauté de communes Pays d'Apt-Luberon;28577;45
200040657;Communauté de communes de la Matheysine;18947;29.7
200040681;Communauté de communes Enclave des Papes-Pays de Grignan;22728;62
200040715;Grenoble-Alpes-Métropole;449488;823.9
200040764;Communauté de communes du Sud Corse;21135;36.2
200040772;Communauté de communes du Perche et Haut Vendômois;9151;23.8
200040798;Communauté de communes Val Vanoise;9046;22.6
200040814;Communauté de communes Briance Sud Haute Vienne;9130;28
200040830;Communauté de communes du Pays de Fénelon;9668;30.1
200040889;Communauté de communes de Portes Sud Périgord;8437;30.2
200040905;Communauté de communes Carmausin-Ségala;29975;62.9
200040947;Communauté d'agglomération Cœur de Flandre;102489;162.6
200040954;Communauté de communes des Hauts de Flandre;53545;119.4
200041010;Communauté de communes Cœur de Savoie;37613;113.9
200041051;Communauté de communes Vallée de la Dordogne et Forêt Bessède;8942;35.7
200041150;Communauté de communes Terrassonnais Haut Périgord Noir;22111;38.9
200041168;Communauté de communes de la Vallée de l'Homme;15828;30
200041283;Communauté de communes de la Plaine du Rhin;18356;122.5
200041317;Communauté d'agglomération du Niortais;122302;150
200041325;Communauté de communes du Pays Rhénan;36987;227.1
200041333;Communauté de communes de Parthenay-Gâtine;36898;44.1
200041366;Communauté de communes Rhône Crussol;34630;173.1
200041416;Communauté de communes Airvaudais-Val du Thouet;6892;30.5
200041440;Communauté de communes de Domme-Villefranche du Périgord;8499;22.6
200041465;Communauté de communes Val Eyrieux;12339;24.2
200041499;Communauté de communes Aunis Atlantique;31796;72.2
200041507;Communauté d'agglomération La Riviera du Levant;65860;317.2
