Insee - Statistiques locales; ; ; 
Référentiel géographique : France par commune; ; ; 
Code;Libellé;Nb de ménages fiscaux 2021;Médiane du niveau de vie 2021
01001;L'Abergement-Clémenciat;346;25820
01002;L'Abergement-de-Varey;115;24480
01004;Ambérieu-en-Bugey;6855;21660
01005;Ambérieux-en-Dombes;800;24610
01006;Ambléon;51;24210
01007;Ambronay;1184;24860
01008;Ambutrix;326;26300
01009;Andert-et-Condon;157;24810
01010;Anglefort;481;24700
01011;Apremont;161;24530
01012;Aranc;144;24270
01013;Arandas;67;22180
01014;Arbent;1361;22410
01015;Arboys en Bugey;313;23800
01016;Arbigny;187;23080
01017;Argis;194;20790
01019;Armix;N/A - résultat non disponible;N/A - résultat non disponible
01021;Ars-sur-Formans;565;26430
01022;Artemare;574;22000
01023;Asnières-sur-Saône;N/A - résultat non disponible;N/A - résultat non disponible
01024;Attignat;1406;24460
01025;Bâgé-Dommartin;1628;24880
01026;Bâgé-le-Châtel;434;22860
01027;Balan;712;25770
01028;Baneins;227;25520
01029;Beaupont;274;21350
01030;Beauregard;364;24240
01031;Bellignat;1479;20550
01032;Béligneux;1184;23060
01033;Valserhône;6545;23780
01034;Belley;4073;21180
01035;Belleydoux;145;26160
01036;Valromey-sur-Séran;592;23820
01037;Bénonces;126;21770
01038;Bény;321;24250
01040;Béréziat;195;23440
01041;Bettant;336;25150
01042;Bey;126;25520
01043;Beynost;1963;28730
01044;Billiat;276;28550
01045;Birieux;106;28180
01046;Biziat;354;24260
01047;Blyes;484;27110
01049;La Boisse;1279;26780
01050;Boissey;136;23180
01051;Bolozon;N/A - résultat non disponible;N/A - résultat non disponible
01052;Bouligneux;126;27630
01053;Bourg-en-Bresse;18870;20210
01054;Bourg-Saint-Christophe;573;27320
01056;Boyeux-Saint-Jérôme;150;21640
01057;Boz;204;24300
01058;Brégnier-Cordon;344;23420
01060;Brénod;244;24970
01061;Brens;460;25110
01062;Bressolles;374;28710
01063;Brion;246;25400
01064;Briord;470;23440
01065;Buellas;794;26810
01066;La Burbanche;N/A - résultat non disponible;N/A - résultat non disponible
01067;Ceignes;103;25900
01068;Cerdon;334;21410
01069;Certines;671;25570
01071;Cessy;1961;42540
01072;Ceyzériat;1392;25320
01073;Ceyzérieu;457;25250
01074;Chalamont;1029;23720
01075;Chaleins;555;24890
01076;Chaley;86;21070
01077;Challes-la-Montagne;92;24620
01078;Challex;561;44460
01079;Champagne-en-Valromey;308;22770
01080;Champdor-Corcelles;281;23720
01081;Champfromier;322;27400
01082;Chanay;215;27880
01083;Chaneins;384;25580
01084;Chanoz-Châtenay;342;24050
01085;La Chapelle-du-Châtelard;151;26330
01087;Charix;118;27320
01088;Charnoz-sur-Ain;380;28140
01089;Château-Gaillard;896;25170
01090;Châtenay;154;24090
01092;Châtillon-la-Palud;674;25470
01093;Châtillon-sur-Chalaronne;2349;23430
01094;Chavannes-sur-Reyssouze;320;23460
01095;Nivigne et Suran;343;23260
01096;Chaveyriat;410;23940
01098;Chazey-Bons;460;22520
01099;Chazey-sur-Ain;674;26780
01100;Cheignieu-la-Balme;74;21090
01101;Chevillard;71;26800
01102;Chevroux;399;23750
01103;Chevry;769;44010
01104;Chézery-Forens;196;25230
01105;Civrieux;728;28920
01106;Cize;75;23440
01107;Cleyzieu;64;22370
01108;Coligny;554;23750
01109;Collonges;814;33820
01110;Colomieu;69;20800
01111;Conand;62;21730
01112;Condamine;167;25520
01113;Condeissiat;345;23170
01114;Confort;238;30140
01115;Confrançon;562;24350
01116;Contrevoz;212;23210
01117;Conzieu;59;22900
01118;Corbonod;454;27120
01121;Corlier;45;24470
01123;Cormoranche-sur-Saône;462;25480
01124;Cormoz;314;23440
01125;Corveissiat;278;24010
01127;Courmangoux;228;24080
01128;Courtes;134;22520
01129;Crans;123;26820
01130;Bresse Vallons;938;24120
01133;Cressin-Rochefort;169;23660
01134;Crottet;754;24310
01135;Crozet;796;44040
01136;Cruzilles-lès-Mépillat;376;25850
01138;Culoz-Béon;1474;21730
01139;Curciat-Dongalon;195;19790
01140;Curtafond;306;26220
01141;Cuzieu;180;25670
01142;Dagneux;1856;25320
01143;Divonne-les-Bains;4130;46650
01145;Dompierre-sur-Veyle;514;24100
01146;Dompierre-sur-Chalaronne;165;24550
01147;Domsure;220;21490
01148;Dortan;802;23960
01149;Douvres;454;27910
01150;Drom;92;23580
01151;Druillat;517;24570
01152;Échallon;299;28070
01153;Échenevex;758;49930
01155;Évosges;63;23720
01156;Faramans;321;26730
01157;Fareins;977;27070
01158;Farges;383;37990
01159;Feillens;1497;24360
01160;Ferney-Voltaire;3704;27220
01162;Flaxieu;N/A - résultat non disponible;N/A - résultat non disponible
01163;Foissiat;865;23810
01165;Francheleins;593;26140
01166;Frans;1011;27060
01167;Garnerans;292;24530
01169;Genouilleux;271;25500
01170;Béard-Géovreissiat;382;24070
01171;Géovreisset;315;25370
01173;Gex;5068;35280
01174;Giron;70;26560
01175;Gorrevod;349;22580
01177;Grand-Corent;84;24680
01179;Grièges;846;24460
01180;Grilly;318;55340
01181;Groissiat;447;25220
01183;Guéreins;573;25240
01184;Hautecourt-Romanèche;364;24580
01185;Plateau d'Hauteville;1978;23080
01187;Haut Valromey;322;23000
01188;Illiat;249;24070
01189;Injoux-Génissiat;434;28040
01190;Innimond;N/A - résultat non disponible;N/A - résultat non disponible
01191;Izenave;69;24140
01192;Izernore;934;23500
01193;Izieu;97;23870
01194;Jassans-Riottier;2598;24030
01195;Jasseron;716;25630
01196;Jayat;490;23020
01197;Journans;177;25780
01198;Joyeux;98;25480
01199;Jujurieux;979;23050
01200;Labalme;85;23480
01202;Lagnieu;3302;23820
01203;Laiz;542;24820
01204;Le Poizat-Lalleyriat;286;25910
01206;Lantenay;115;24700
01207;Lapeyrouse;131;27830
01208;Lavours;68;22170
01209;Léaz;284;31670
01210;Lélex;109;24020
01211;Lent;635;24780
01212;Lescheroux;288;22570
01213;Leyment;542;24160
01214;Leyssard;71;26540
01215;Surjoux-Lhopital;54;23850
01216;Lhuis;360;24130
01219;Lompnas;78;22500
01224;Loyettes;1328;23420
01225;Lurcy;151;28430
01227;Magnieu;273;25450
01228;Maillat;267;26830
01229;Malafretaz;517;24580
01230;Mantenay-Montlin;143;21030
01231;Manziat;834;25260
01232;Marboz;973;24540
01233;Marchamp;54;24140
01234;Marignieu;68;23750
01235;Marlieux;468;22870
01236;Marsonnas;409;24430
01237;Martignat;648;24590
01238;Massieux;1060;28590
01239;Massignieu-de-Rives;257;23900
01240;Matafelon-Granges;279;24660
01241;Meillonnas;584;26000
01242;Mérignat;59;20070
01243;Messimy-sur-Saône;505;27580
01244;Meximieux;3395;24890
01245;Bohas-Meyriat-Rignat;392;25140
