Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des actifs occupés de 15 ans ou plus  les transports en commun 2021;Part des ménages ayant au moins 1 voiture 2021;Part des actifs occ 15 ans ou plus voiture pour travailler 2021;Part des actifs occ 15 ans ou plus vélo pour travailler 2021
01001;L'Abergement-Clémenciat;1;97.2;90.7;0.2
01002;L'Abergement-de-Varey;5.1;95.2;85.1;0
01004;Ambérieu-en-Bugey;13.5;84.8;70.9;2.2
01005;Ambérieux-en-Dombes;3;96.5;89.3;0.1
01006;Ambléon;0;96.5;91.5;0
01007;Ambronay;7.3;94.9;85.6;0.7
01008;Ambutrix;6.6;98.1;86.9;0.5
01009;Andert-et-Condon;1.6;95.6;90.1;0.9
01010;Anglefort;2.3;96.5;91.7;1.1
01011;Apremont;0.5;98.4;93.7;0
01012;Aranc;3.5;95.3;80.1;0.7
01013;Arandas;3.3;98.6;63.9;0
01014;Arbent;2.8;93.5;90.4;0.6
01015;Arboys en Bugey;1.5;92.7;90.6;1.5
01016;Arbigny;0;94.4;91.6;1
01017;Argis;11.6;94.2;81.7;1.2
01019;Armix;0;100;66.7;0
01021;Ars-sur-Formans;3.8;95.5;85.7;0.5
01022;Artemare;2.9;89;86;1.3
01023;Asnières-sur-Saône;2.8;97.1;91.7;0
01024;Attignat;1.7;95.9;91.2;0.9
01025;Bâgé-Dommartin;1.5;96.8;91.3;0.2
01026;Bâgé-le-Châtel;1.6;91.7;89.7;0.2
01027;Balan;11.4;98.2;55.8;2.6
01028;Baneins;1.7;98;91.3;0.4
01029;Beaupont;4.7;97.8;85.9;1.1
01030;Beauregard;4;92.9;90;0.5
01031;Bellignat;2.8;82.6;83.2;3.1
01032;Béligneux;8.5;96;80.7;3.5
01033;Valserhône;12.1;86.6;76.8;0.7
01034;Belley;3.7;83.6;72;2.7
01035;Belleydoux;1.3;95.9;90.8;0
01036;Valromey-sur-Séran;5.3;97.4;85.7;1.1
01037;Bénonces;1.4;98.5;75.1;0
01038;Bény;1.7;98.5;92;0.6
01040;Béréziat;0.4;96.7;92.5;0.4
01041;Bettant;11;92.6;82.2;1.1
01042;Bey;4.2;99.3;89.9;0.7
01043;Beynost;12.3;93.9;79.1;1.6
01044;Billiat;10.7;93.3;83.8;0
01045;Birieux;7.5;97;84.9;0.8
01046;Biziat;2;97.3;88.8;0.7
01047;Blyes;4.9;96.9;86.6;1.6
01049;La Boisse;8.8;95.1;82.3;1.7
01050;Boissey;1.1;95;92.7;0
01051;Bolozon;2.4;91.7;92.7;0
01052;Bouligneux;5.9;94.7;85.2;0.7
01053;Bourg-en-Bresse;9;77.8;66.6;5.7
01054;Bourg-Saint-Christophe;9.2;96.4;85.6;0.3
01056;Boyeux-Saint-Jérôme;1.8;97.6;79.9;1.2
01057;Boz;0.4;96.1;90.3;3.2
01058;Brégnier-Cordon;0.8;95.5;89.5;1.1
01060;Brénod;0.7;88.7;88.1;0.4
01061;Brens;1.8;97.7;92.2;1
01062;Bressolles;8.6;98.3;86.3;0
01063;Brion;2;96.2;90.9;1.6
01064;Briord;2;96.6;84.2;0.5
01065;Buellas;1.9;96.6;92.9;0.6
01066;La Burbanche;0;95.1;90;0
01067;Ceignes;2.1;98.2;90.4;1.4
01068;Cerdon;2;93.9;83.8;1.2
01069;Certines;1.8;96.6;90.8;1.3
